belong_1,belong_2,belong_3,belong_4,belong_5,belong_6,acad_1,acad_2,acad_3,acad_4,acad_5,acad_6,stress_1,stress_2,stress_3,stress_4,stress_5,stress_6,disc_1,disc_2,disc_3,disc_4,disc_5,disc_6,div_1,div_2,div_3,div_4,div_5,div_6,div_7,gender,first_gen,transfer,ethnicity,mother_edu,major,year,status,financial_challenge,college_gpa,total_belonging,total_academic,total_stress,total_discrimination,total_diversity
3,2,3,2,4,3,4,2,1,2,1,3,3,3,2,3,5,3,5,5,3,3,2,4,5,2,1,1,1,5,2,Male,No,No,Latino,Graduate,STEM,Junior,International,To a large extent,2.98,2.833333333,2.166666667,3.166666667,3.666666667,2.428571429
5,3,4,5,3,1,4,1,4,1,1,3,4,2,1,2,1,1,2,5,2,1,2,2,5,1,4,1,4,3,2,Female,Yes,No,Latino,Graduate,STEM,Sophomore,Domestic,To a small extent,3.47,3.5,2.333333333,1.833333333,2.333333333,2.857142857
3,4,5,3,2,1,1,1,1,2,3,3,1,2,4,5,1,3,4,1,5,3,4,5,4,2,3,2,2,3,5,Female,No,No,African American,College,STEM,Junior,International,To a small extent,2.66,3,1.833333333,2.666666667,3.666666667,3
2,5,2,5,3,3,3,2,3,1,5,2,1,3,2,4,1,5,4,3,4,2,4,1,5,2,2,5,4,5,1,Male,No,No,White,Less than College,STEM,Sophomore,International,To some extent,2.87,3.333333333,2.666666667,2.666666667,3,3.428571429
4,4,1,4,2,1,2,4,5,4,4,3,3,3,5,5,1,1,1,4,3,1,4,3,1,1,1,2,1,4,4,Female,Yes,Yes,Asian,Less than College,STEM,Freshman,International,To a small extent,3.21,2.666666667,3.666666667,3,2.666666667,2
3,5,1,5,1,4,4,3,5,2,3,1,1,1,1,2,4,3,1,4,5,3,5,2,4,3,1,4,2,3,2,Female,No,Yes,African American,College,Non-STEM,Senior,International,To a large extent,3.05,3.166666667,3,2,3.333333333,2.714285714
4,2,4,5,1,4,2,4,1,2,4,3,4,2,1,2,3,4,1,5,3,2,5,2,2,2,4,2,1,4,5,Male,Yes,No,White,College,Non-STEM,Freshman,International,To a large extent,3.12,3.333333333,2.666666667,2.666666667,3,2.857142857
2,3,5,2,1,2,4,1,3,4,4,3,4,4,4,2,4,3,5,5,4,4,4,1,4,4,5,3,3,3,1,Male,No,Yes,Latino,Graduate,STEM,Sophomore,International,To a small extent,3.95,2.5,3.166666667,3.5,3.833333333,3.285714286
2,1,2,3,3,2,5,1,2,1,2,5,5,3,3,2,5,3,2,5,2,2,3,4,4,5,2,2,1,5,5,Male,Yes,No,African American,Graduate,STEM,Junior,International,To a small extent,2.93,2.166666667,2.666666667,3.5,3,3.428571429
1,5,3,2,3,1,2,2,4,4,5,3,5,2,4,5,2,1,3,3,1,1,5,4,4,3,5,1,3,4,1,Female,No,No,Other,Less than College,Non-STEM,Senior,International,To a small extent,2.58,2.5,3.333333333,3.166666667,2.833333333,3
2,2,2,1,2,3,1,3,3,5,1,4,3,3,4,2,5,2,4,4,2,4,3,3,4,2,2,4,5,1,4,Female,Yes,No,White,College,Non-STEM,Sophomore,International,To some extent,2.93,2,2.833333333,3.166666667,3.333333333,3.142857143
2,2,5,2,2,2,3,3,3,3,5,5,5,4,4,4,5,5,3,1,2,5,5,3,3,4,1,5,4,5,4,Female,No,Yes,African American,College,Non-STEM,Senior,Domestic,To some extent,3.19,2.5,3.666666667,4.5,3.166666667,3.714285714
1,4,3,4,3,4,1,4,4,5,4,5,3,3,1,2,1,2,2,5,4,5,5,1,4,2,4,3,2,3,5,Male,No,Yes,White,College,STEM,Freshman,International,To a small extent,2.93,3.166666667,3.833333333,2,3.666666667,3.285714286
1,1,5,5,4,4,5,1,5,3,4,2,3,5,1,1,5,5,1,2,2,3,1,2,3,1,3,5,4,1,2,Female,No,Yes,White,Graduate,STEM,Freshman,International,To a small extent,2.94,3.333333333,3.333333333,3.333333333,1.833333333,2.714285714
2,2,1,3,4,4,2,4,2,2,4,5,3,3,5,1,1,1,5,3,2,5,4,4,3,5,1,3,4,1,3,Male,Yes,No,White,Less than College,Non-STEM,Freshman,Domestic,To a large extent,3.16,2.666666667,3.166666667,2.333333333,3.833333333,2.857142857
4,2,4,3,3,5,3,5,5,4,2,4,3,2,5,2,5,3,4,1,1,4,1,3,3,2,3,1,1,3,3,Male,Yes,Yes,White,College,Non-STEM,Junior,Domestic,To some extent,3.09,3.5,3.833333333,3.333333333,2.333333333,2.285714286
5,5,5,3,2,4,3,4,1,1,3,3,3,3,1,3,2,1,1,5,5,5,4,4,3,3,2,2,1,4,3,Female,Yes,No,Other,College,STEM,Sophomore,Domestic,To some extent,3.2,4,2.5,2.166666667,4,2.571428571
1,5,1,1,1,2,2,5,2,1,5,5,5,2,2,5,1,1,3,1,4,5,5,3,1,4,5,1,5,5,5,Male,No,No,Other,College,Non-STEM,Junior,Domestic,To some extent,3.23,1.833333333,3.333333333,2.666666667,3.5,3.714285714
1,2,4,2,5,4,3,4,4,1,5,4,3,5,4,2,2,3,5,2,2,4,4,3,3,3,5,4,2,4,1,Male,No,No,Latino,Less than College,Non-STEM,Freshman,International,To some extent,2.72,3,3.5,3.166666667,3.333333333,3.142857143
5,4,2,4,3,5,5,4,3,5,3,1,1,3,4,1,5,5,5,5,5,4,2,3,4,4,5,1,3,1,2,Male,No,Yes,Asian,Graduate,STEM,Sophomore,Domestic,To some extent,2.88,3.833333333,3.5,3.166666667,4,2.857142857
2,3,3,4,4,1,2,1,2,5,2,1,3,2,4,5,4,1,4,5,3,3,4,3,2,1,1,2,2,2,3,Female,Yes,Yes,White,College,Non-STEM,Junior,Domestic,To a small extent,3.09,2.833333333,2.166666667,3.166666667,3.666666667,1.857142857
4,5,1,4,5,3,2,2,5,2,3,3,3,2,1,1,4,5,4,2,4,1,1,4,5,3,1,2,3,5,4,Female,Yes,No,White,College,STEM,Sophomore,International,To a small extent,2.87,3.666666667,2.833333333,2.666666667,2.666666667,3.285714286
3,1,5,1,2,2,2,4,4,5,5,1,2,2,5,2,2,1,5,2,1,4,2,2,2,3,2,3,5,3,2,Female,No,Yes,Asian,Less than College,Non-STEM,Junior,International,To a large extent,3.26,2.333333333,3.5,2.333333333,2.666666667,2.857142857
5,5,5,1,3,1,5,5,4,1,3,3,3,2,3,5,4,4,5,1,5,2,5,2,2,5,3,1,5,4,5,Female,Yes,No,African American,Graduate,Non-STEM,Junior,Domestic,To a large extent,3.25,3.333333333,3.5,3.5,3.333333333,3.571428571
3,4,2,5,4,2,3,2,3,1,3,4,5,5,3,1,4,4,5,2,4,5,3,4,4,5,1,3,4,5,1,Male,Yes,Yes,Other,Less than College,Non-STEM,Freshman,International,To some extent,3.41,3.333333333,2.666666667,3.666666667,3.833333333,3.285714286
5,2,5,1,5,1,2,4,3,5,1,2,2,4,3,1,4,4,3,2,5,2,3,1,2,3,2,3,3,3,5,Female,Yes,Yes,Asian,Graduate,STEM,Sophomore,International,To a small extent,3.36,3.166666667,2.833333333,3,2.666666667,3
1,2,1,4,4,2,3,3,2,1,5,1,3,2,5,1,3,4,3,2,2,2,3,5,4,1,2,3,5,1,5,Female,No,No,White,Graduate,Non-STEM,Sophomore,International,To a large extent,3.44,2.333333333,2.5,3,2.833333333,3
1,5,5,2,3,5,1,4,5,4,5,3,2,1,1,1,2,5,1,3,3,4,4,4,1,4,4,5,3,4,4,Male,No,No,Other,Graduate,Non-STEM,Sophomore,International,To a small extent,3.33,3.5,3.666666667,2,3.166666667,3.571428571
2,1,3,2,3,2,4,3,4,1,5,3,3,1,1,2,4,4,3,5,5,2,2,3,4,4,2,3,1,3,3,Female,No,No,Latino,Graduate,Non-STEM,Senior,International,To some extent,3.06,2.166666667,3.333333333,2.5,3.333333333,2.857142857
4,2,1,1,5,2,1,2,2,5,3,3,5,1,2,3,3,2,5,1,3,4,3,4,2,2,2,1,4,3,5,Female,Yes,No,Asian,College,STEM,Sophomore,International,To a large extent,3.09,2.5,2.666666667,2.666666667,3.333333333,2.714285714
5,4,4,4,1,4,3,2,1,1,3,2,1,2,1,3,2,5,1,5,4,4,3,2,5,4,5,3,3,5,4,Male,Yes,Yes,Asian,Less than College,Non-STEM,Senior,International,To a small extent,3,3.666666667,2,2.333333333,3.166666667,4.142857143
5,3,5,2,4,2,4,1,4,1,4,1,5,2,2,3,2,3,3,3,3,1,2,5,4,4,2,2,2,1,5,Male,No,Yes,White,Graduate,Non-STEM,Junior,International,To a small extent,3.6,3.5,2.5,2.833333333,2.833333333,2.857142857
5,3,1,1,4,3,5,4,3,4,4,5,5,1,4,3,4,3,5,3,5,4,3,4,5,2,3,2,2,1,5,Male,No,No,Asian,Graduate,Non-STEM,Senior,International,To a large extent,3.36,2.833333333,4.166666667,3.333333333,4,2.857142857
2,1,3,2,5,2,1,4,4,1,2,2,2,3,4,3,4,5,2,1,5,1,3,4,2,2,1,1,3,1,2,Male,Yes,Yes,White,College,STEM,Sophomore,International,To a small extent,2.93,2.5,2.333333333,3.5,2.666666667,1.714285714
4,1,5,5,4,2,2,3,2,1,4,3,1,3,5,4,5,5,5,4,5,2,2,1,4,3,3,4,1,5,3,Male,Yes,No,Latino,Less than College,STEM,Sophomore,International,To a large extent,3.61,3.5,2.5,3.833333333,3.166666667,3.285714286
3,1,5,2,5,2,2,1,4,2,1,4,2,2,3,2,3,4,4,5,4,2,2,1,5,5,4,4,1,5,4,Female,No,No,White,Graduate,STEM,Senior,Domestic,To some extent,3.38,3,2.333333333,2.666666667,3,4
2,4,5,4,1,5,3,4,1,4,2,4,1,2,5,3,3,2,2,2,5,5,4,5,5,4,2,4,1,5,2,Female,Yes,Yes,White,Less than College,STEM,Freshman,International,To a large extent,3.03,3.5,3,2.666666667,3.833333333,3.285714286
5,3,2,1,5,1,2,2,4,3,2,2,2,3,1,4,1,3,3,1,5,4,1,3,1,1,4,1,4,1,1,Male,No,No,African American,Less than College,STEM,Sophomore,International,To some extent,3.23,2.833333333,2.5,2.333333333,2.833333333,1.857142857
1,5,3,5,1,4,5,2,4,2,5,5,5,2,4,2,3,3,1,5,1,4,5,3,2,3,5,2,2,2,3,Female,Yes,No,White,College,Non-STEM,Freshman,International,To a small extent,3.98,3.166666667,3.833333333,3.166666667,3.166666667,2.714285714
